,date,startup_name,industry_vertical,subvertical,city,investor,investment_type,amount,year,month
1867,2016-03-16,gapoon,consumer internet,hyperlocal home maintenance services,bengaluru,"chandrashekar tallapragada, pankaj kapoor",seed,14934600.0,2016,3
1868,2016-03-16,avagmah,consumer internet,online education portal,bengaluru,"kris gopalakrishnan, atul nishar",seed,,2016,3
1869,2016-03-16,workindia,consumer internet,online job board,mumbai,beenext,seed,,2016,3
1870,2016-03-16,wealthy,consumer internet,online investment management portal,bengaluru,"zishaan hayath, abhishek goyal, arjun and rohan malhotra, harpreet singh grover, gagan dugal",seed,20742500.0,2016,3
1871,2016-03-17,pramati,healthcare,specialized patient care platform,noida,undisclosed,seed,16594000.0,2016,3
1872,2016-03-17,qlivery,consumer internet,ondemand concierge service,gurgaon,swastika company ltd,seed,19083100.0,2016,3
1873,2016-03-17,healthenablr,consumer internet,doctor discovery and booking platform,mumbai,undisclosed,seed,66376000.0,2016,3
1874,2016-03-17,liftiee,consumer internet,car/ bike pooling app,mumbai,"rannvijay singh, anita hassanandani",seed,8960760.0,2016,3
1875,2016-03-18,hello curry,food & beverage,quick service restaurant chain,hyderabad,sashi reddi & other unnamed investors,private equity,124455000.0,2016,3
1876,2016-03-19,gosporto,consumer internet,online sports discovery and booking platform,new delhi,naveen gupta,seed,2489100.0,2016,3
1877,2016-03-21,oneclickwash,consumer internet,online laundry & washing service booking & delivery,gurgaon,unitus seed fund,seed,,2016,3
1878,2016-03-21,girnar software,consumer internet,online news media network,jaipur,google capital,private equity,,2016,3
1879,2016-03-21,room on call,consumer internet,budget hotel aggregator,gurgaon,cashurdrive marketing pvt ltd,private equity,165940000.0,2016,3
1880,2016-03-22,byju's,consumer internet,educational video content creator,bengaluru,"sequoia india, sofina",private equity,6222750000.0,2016,3
1881,2016-03-22,bigbasket,ecommerce,online grocery shop,bengaluru,abraaj group,private equity,12445500000.0,2016,3
1882,2016-03-22,drivojoy,consumer internet,on-demand 2-wheeler servicing platform,bengaluru,"indian angel network, tracxn labs & others",seed,49782000.0,2016,3
1883,2016-03-22,smartron,technology,internet of things device manufacturer,bengaluru,sachin tendulkar,private equity,,2016,3
1884,2016-03-22,lifcare,consumer internet,online pharmacy portal,jaipur,"rajul garg, alok mittal, kunal shah, rishi mandawat, dheeraj jain, sandeep tandon, dexter angel circle",seed,,2016,3
1885,2016-03-22,creditseva,consumer internet,online credit management tools,hyderabad,"pix vine capital, infocomm development authority of singapore",seed,29869200.0,2016,3
1886,2016-03-22,cityshor,consumer internet,online lifestyle media recommendation portal,ahmedabad,gain,seed,,2016,3
1887,2016-03-23,endless robotics,technology,interior painting automation,hyderabad,"devidas desai, vipul gautam, singapore angel network",seed,8297000.0,2016,3
1888,2016-03-23,sp robotics,technology,robotic classes for students,chennai,"indian angel network,",seed,24891000.0,2016,3
1889,2016-03-23,stalkbuylove,ecommerce,fashion etailer,new delhi,"500 startups, littlerock, singularity ventures",seed,,2016,3
1890,2016-03-23,ekincare,consumer internet,healthcare related solutions,hyderabad,"bitchemy ventures, maheshwari investments pvt ltd, anshoo gaur, rama krishna reddy, sandeep seerapu",private equity,27380100.0,2016,3
1891,2016-03-23,hashlearn,consumer internet,mobile based private tutoring services,,"bhavish aggarwal, binny bansal,\\xc2\\xa0 rajan anandan, mekin maheshwar, sunil kalra, anupam mittal, krishna mehra, singapore angel network",seed,,2016,3
1892,2016-03-23,wheelstreet,consumer internet,online bike rental platform,bengaluru,broadbean capital services,private equity,41485000.0,2016,3
1893,2016-03-24,horntell,consumer internet,unified push notification service,gurgaon,"bharanidharan viswanathan, sanjiv mittal, shobhit shukla, rahul agarwal",seed,12445500.0,2016,3
1894,2016-03-28,schoolkart,ecommerce,online marketplace for schools,noida,undisclosed,seed,24891000.0,2016,3
1895,2016-03-29,healtheminds,consumer internet,online mental healthcare,bengaluru,robin utthappa,seed,,2016,3
1896,2016-03-29,babygogo,consumer internet,child healthcare experts aggregator mobile app,new delhi,"rajul garg, daljit singh, aditya vij, kishore kumar, shuchin bajaj",seed,24891000.0,2016,3
1897,2016-03-29,veritas finance,finance,asset based lending platform,chennai,sarva capital,private equity,389959000.0,2016,3
1898,2016-03-29,qikship,consumer internet,mobile based logistics provider,new delhi,undisclosed,seed,16594000.0,2016,3
